#,X,Y,Z,q_x,q_y,q_z,q_w
1015,-5.447900476,-3.859052602,0.122537227,0.481977182,0.873489462,0.068265225,-0.007349411
1016,-5.447859707,-3.859008166,0.122451804,0.481913652,0.873535077,0.06813095,-0.00734001
1017,-5.447819572,-3.858951896,0.122367181,0.481871505,0.873569146,0.06799573,-0.007306212
1018,-5.447773239,-3.858892055,0.122290693,0.481828291,0.873601866,0.06788951,-0.007231358
1019,-5.447721571,-3.858830147,0.122214712,0.481791919,0.873629173,0.067809286,-0.00710735
1020,-5.447665643,-3.858772472,0.122136394,0.481773765,0.873645572,0.067740663,-0.006975451
1021,-5.447609442,-3.858719655,0.122056288,0.481757977,0.873660784,0.067667208,-0.006872825
1022,-5.447553204,-3.858671541,0.121971817,0.481747363,0.87367562,0.067554946,-0.006835069
1023,-5.447498201,-3.85862248,0.1218878,0.481720644,0.873700371,0.067424097,-0.006846367
1024,-5.447440853,-3.858572271,0.121808946,0.481674136,0.873737008,0.067276567,-0.006894261
1025,-5.447377123,-3.858516126,0.12174317,0.481614119,0.873780263,0.067138389,-0.006951898
1026,-5.447305271,-3.858458259,0.121688439,0.481541201,0.8738295,0.067012831,-0.007025524
1027,-5.447231202,-3.858396157,0.121643694,0.48144552,0.873891988,0.066874881,-0.007124282
1028,-5.447150598,-3.858335466,0.121606143,0.481334537,0.873961703,0.066750986,-0.007232672
1029,-5.447067296,-3.858273878,0.121572967,0.481205324,0.874038751,0.066659186,-0.007365481
1030,-5.446980593,-3.858215728,0.121545647,0.481080219,0.87411029,0.066609193,-0.007499251
1031,-5.446894059,-3.858158815,0.121520815,0.480959955,0.874179621,0.066553736,-0.007623163
1032,-5.44680728,-3.858106714,0.121496735,0.480834902,0.874252187,0.066488809,-0.007755566
1033,-5.446721135,-3.858056328,0.121476615,0.480721368,0.874318838,0.066418105,-0.007884818
1034,-5.44663297,-3.858006529,0.121459801,0.480602308,0.874387446,0.06636392,-0.007990324
1035,-5.44654064,-3.857956754,0.121450214,0.48050684,0.874440621,0.066348877,-0.00803759
1036,-5.446439302,-3.857910054,0.121446493,0.480419283,0.874486235,0.066381835,-0.008036783
1037,-5.446329674,-3.857867509,0.121453057,0.480349173,0.874520181,0.066445965,-0.008003689
1038,-5.446213422,-3.857830647,0.121454901,0.480275335,0.874556088,0.066509521,-0.007983404
1039,-5.446087102,-3.857802528,0.121456958,0.480173323,0.874606361,0.066585973,-0.007975052
1040,-5.445950698,-3.85777941,0.121460596,0.480066978,0.874658859,0.06665994,-0.008001863
1041,-5.445800814,-3.857765616,0.12146112,0.479949529,0.874716945,0.066734828,-0.00807327
1042,-5.445637598,-3.857763574,0.121459084,0.479826687,0.874779009,0.066793771,-0.008162543
1043,-5.445457126,-3.857779217,0.121461274,0.479676244,0.874856907,0.066843732,-0.008246759
1044,-5.445257612,-3.857814574,0.121466168,0.47949376,0.87495295,0.066885531,-0.008330309
1045,-5.44503835,-3.85786763,0.121469102,0.47927119,0.875069452,0.066945163,-0.008421724
1046,-5.44480017,-3.857934639,0.121475845,0.47901241,0.875203932,0.06702913,-0.008502019
1047,-5.444537896,-3.85801961,0.121483789,0.478716423,0.875357715,0.067129468,-0.008549349
1048,-5.444262843,-3.858106144,0.121494691,0.478438878,0.875502788,0.067214781,-0.008560409
1049,-5.443972382,-3.858199633,0.121503886,0.478178185,0.875639683,0.067291269,-0.008523762
1050,-5.443665716,-3.858299425,0.121519261,0.477941605,0.875765665,0.067342165,-0.008447146
1051,-5.443342214,-3.85840631,0.121535141,0.477737265,0.875874813,0.06738585,-0.008340572
1052,-5.443000114,-3.858526178,0.121554521,0.477560096,0.875969869,0.067417487,-0.008247747
1053,-5.442646275,-3.858654311,0.121573792,0.477449016,0.876029559,0.067434686,-0.008198286
1054,-5.44228026,-3.858794768,0.121591637,0.477383324,0.87606557,0.067431293,-0.008203628
1055,-5.441901991,-3.858948678,0.121607666,0.477366577,0.876074614,0.067429651,-0.008225839
1056,-5.441502551,-3.859122453,0.121626705,0.477394063,0.876057609,0.067454169,-0.008240694
1057,-5.441081598,-3.85931206,0.121652043,0.477467716,0.876013387,0.067508889,-0.008226513
1058,-5.440639619,-3.859516209,0.121681992,0.477593816,0.875937815,0.067601767,-0.00819094
1059,-5.44017335,-3.859743796,0.121718028,0.477733042,0.875855086,0.06769331,-0.008162332
1060,-5.439691031,-3.859989508,0.121755482,0.47788368,0.875767526,0.067762501,-0.008165296
1061,-5.439192149,-3.860260389,0.121790196,0.478038192,0.87568253,0.067765483,-0.008211815
1062,-5.438675341,-3.86055663,0.121824749,0.478172113,0.875612345,0.06771552,-0.008310278
1063,-5.43814485,-3.860866836,0.121858737,0.478291276,0.875552718,0.067626271,-0.008460487
1064,-5.437593592,-3.861199234,0.121894318,0.478388958,0.875506282,0.06751248,-0.008649845
1065,-5.437024858,-3.861550121,0.121929953,0.478465583,0.875472949,0.067375699,-0.008849688
1066,-5.436432884,-3.86192636,0.121969549,0.478518266,0.875451014,0.067261233,-0.009039773
1067,-5.435819719,-3.862321818,0.122010278,0.47857551,0.875421372,0.067216767,-0.009209207
1068,-5.435185009,-3.862736303,0.122056129,0.478610292,0.875399847,0.067225404,-0.009382993
1069,-5.43453771,-3.86315994,0.122104989,0.478641906,0.875376438,0.067277215,-0.009580955
1070,-5.433873678,-3.863601664,0.122152583,0.478656949,0.875360766,0.067340199,-0.00981592
1071,-5.433196433,-3.864055158,0.122202088,0.478645792,0.875359377,0.06740216,-0.010055667
1072,-5.432499865,-3.864523717,0.122253125,0.478605689,0.875371647,0.067493896,-0.010278569
1073,-5.431781275,-3.865010054,0.122310139,0.478558001,0.875385603,0.067622656,-0.010462363
1074,-5.431041615,-3.865513601,0.122375148,0.478502999,0.875400101,0.067800887,-0.01061052
1075,-5.430285106,-3.866034386,0.122442136,0.478442055,0.875416924,0.067990082,-0.010759072
1076,-5.429509285,-3.866577057,0.122511295,0.47839781,0.875424351,0.068186238,-0.010880141
1077,-5.428713933,-3.86714224,0.122584697,0.478363788,0.87542321,0.068424312,-0.010972791
1078,-5.427888708,-3.867743445,0.122663807,0.478326642,0.875419559,0.068717938,-0.011048234
1079,-5.427039663,-3.868369362,0.122748858,0.478306188,0.875401738,0.069078895,-0.011094746
1080,-5.426159463,-3.869027926,0.122841769,0.478290735,0.875376065,0.069507758,-0.011108074
1081,-5.425248993,-3.869718705,0.122934759,0.478264179,0.875355187,0.069952442,-0.011105331
1082,-5.42431302,-3.870441356,0.123023814,0.478213438,0.875352081,0.070337704,-0.011101789
1083,-5.423356396,-3.871195241,0.123100806,0.478124449,0.875376281,0.070635851,-0.011133501
1084,-5.422384152,-3.871967068,0.123169408,0.477991036,0.875431033,0.070846088,-0.011220863
1085,-5.421386568,-3.872758199,0.123228456,0.477820152,0.875508444,0.071021058,-0.011352364
1086,-5.420367018,-3.873558882,0.123293805,0.477653835,0.875582769,0.07119901,-0.011503458
1087,-5.419317477,-3.874379319,0.123359963,0.477492481,0.875652774,0.071400988,-0.011621027
1088,-5.418238118,-3.8752228,0.123424567,0.477343756,0.875715489,0.071613385,-0.011698033
1089,-5.41712722,-3.876093079,0.123492196,0.477197344,0.875777691,0.071822239,-0.011734415
1090,-5.415990383,-3.876980654,0.123559302,0.477050304,0.875842986,0.072004306,-0.011723955
1091,-5.414828192,-3.877883368,0.123628017,0.476914693,0.875903101,0.072183122,-0.011650316
1092,-5.413642476,-3.878803527,0.123700322,0.476804498,0.875951861,0.072336227,-0.011544607
1093,-5.412437345,-3.879745395,0.123766996,0.47672522,0.875986789,0.072454137,-0.011428395
1094,-5.411214544,-3.88071213,0.123825004,0.476661595,0.876016203,0.072536615,-0.011303781
1095,-5.409970966,-3.881705421,0.123877041,0.47660739,0.876043566,0.07258982,-0.011125832
1096,-5.408708656,-3.882723619,0.123929314,0.476556586,0.876072821,0.072610696,-0.010859122
1097,-5.40742198,-3.883775846,0.123968708,0.476507705,0.876104498,0.072603979,-0.010487024
1098,-5.406118759,-3.884847676,0.123997789,0.476461673,0.876138806,0.072555292,-0.010039735
1099,-5.404808186,-3.885924624,0.124015115,0.476397219,0.876186298,0.072467568,-0.009576664
1100,-5.403489565,-3.88700914,0.124022658,0.476303419,0.876251544,0.072353259,-0.009126387
1101,-5.402164687,-3.888102926,0.124011013,0.476169653,0.876339425,0.072219298,-0.008720528
1102,-5.400830865,-3.889209905,0.123990288,0.475997932,0.876449115,0.072064361,-0.00834536
1103,-5.399492069,-3.890328951,0.123954135,0.475797593,0.876576759,0.07187252,-0.008011013
1104,-5.398151947,-3.891459377,0.123905087,0.475548843,0.876730375,0.071674203,-0.007743076
1105,-5.396807802,-3.892603728,0.123846409,0.475264114,0.876903592,0.071464526,-0.00754544
1106,-5.395464198,-3.893754599,0.123778013,0.474912054,0.877110765,0.071277526,-0.007400092
1107,-5.394119677,-3.894912378,0.123700161,0.474514659,0.877341334,0.071096715,-0.007299268
1108,-5.392775483,-3.896071436,0.12361047,0.474055072,0.877602235,0.070947209,-0.007252569
1109,-5.391435204,-3.897228334,0.123502398,0.473523542,0.877902608,0.070775307,-0.007302187
1110,-5.390112657,-3.898372574,0.123370863,0.472942696,0.878229788,0.070585303,-0.00744052
1111,-5.388800831,-3.899517128,0.123218905,0.472346029,0.878566064,0.070373462,-0.007646922
