#Time,X,Y,Z,q_x,q_y,q_z,q_w
1030,-5.591894304,-3.794627909,0.08138534,0.493384299,0.869084711,0.03297003,-0.013291951
1031,-5.59155747,-3.794278767,0.081494734,0.493559304,0.868990051,0.032762377,-0.013495601
1032,-5.59119988,-3.793900731,0.0815981,0.493658481,0.868939846,0.032507138,-0.013716189
1033,-5.590823499,-3.793490045,0.08168837,0.493675848,0.86893804,0.032184437,-0.013964264
1034,-5.590427687,-3.793042891,0.081767911,0.493599014,0.868990727,0.031827964,-0.014216553
1035,-5.59000907,-3.792556557,0.081841265,0.493451533,0.869085211,0.031432371,-0.014439053
1036,-5.589565987,-3.79203624,0.081913197,0.493236084,0.869219388,0.03101041,-0.014634754
1037,-5.58910561,-3.791485855,0.081970495,0.492972952,0.869382908,0.030513645,-0.014830542
1038,-5.588630502,-3.790915638,0.082013883,0.49269822,0.869554018,0.029968893,-0.015037963
1039,-5.588142327,-3.790331387,0.082047508,0.492448567,0.869710896,0.029379515,-0.015303957
1040,-5.587644203,-3.789732823,0.082070234,0.492255825,0.869833795,0.028797326,-0.015623272
1041,-5.587139329,-3.789116633,0.082081833,0.492142688,0.869909694,0.028235621,-0.015982742
1042,-5.586631553,-3.788470566,0.082086694,0.492072882,0.869960328,0.027682087,-0.016340381
1043,-5.586123237,-3.787787028,0.082080498,0.49201617,0.87000222,0.02717236,-0.016670012
1044,-5.585617804,-3.787061248,0.0820625,0.491957585,0.870044405,0.02670393,-0.01695194
1045,-5.585118335,-3.786281202,0.082032856,0.49185557,0.870110059,0.026295129,-0.017179891
1046,-5.584618607,-3.785451028,0.081993622,0.49170241,0.870203987,0.02594422,-0.017339517
1047,-5.584122674,-3.784573978,0.081944614,0.491498301,0.870326173,0.025657746,-0.017419926
1048,-5.583639349,-3.783650296,0.081883335,0.491227893,0.870484831,0.025396458,-0.017502451
1049,-5.583167407,-3.782684983,0.081816074,0.490926689,0.870659765,0.025161839,-0.017590958
1050,-5.582709605,-3.781675214,0.081739366,0.490606854,0.87084301,0.024982839,-0.017698133
1051,-5.582262291,-3.780627471,0.081674021,0.490301923,0.871015994,0.024866574,-0.017799321
1052,-5.581825082,-3.779550746,0.081621123,0.490028204,0.871171264,0.024775817,-0.017864693
1053,-5.581393172,-3.778459532,0.081575988,0.489797,0.871302774,0.024725815,-0.01786084
1054,-5.580968164,-3.777357603,0.081538303,0.489613091,0.871408298,0.024689927,-0.017804687
1055,-5.58054554,-3.77625482,0.081502187,0.489478129,0.871486481,0.024688495,-0.017690494
1056,-5.580124958,-3.775152072,0.081468328,0.489417291,0.871523094,0.024696296,-0.01755862
1057,-5.579709767,-3.7740424,0.081434175,0.48942631,0.871520624,0.024691874,-0.01743561
1058,-5.579296863,-3.772925878,0.081400785,0.489491866,0.871486781,0.02465267,-0.017342125
1059,-5.578888043,-3.771792465,0.08137315,0.489614035,0.871422121,0.024581728,-0.01724302
1060,-5.578463056,-3.770673333,0.081355895,0.489801925,0.871321233,0.024506073,-0.017112437
1061,-5.578031495,-3.769559573,0.081349099,0.490048116,0.871187915,0.024417209,-0.016978225
